Entry,EC Numbers,CLEAN-contact Prediction,CLEAN-contact Prediction Maxsep,ActSeekN Prediction
NP_387397,2.6.1.39,EC:2.6.1.79,EC:2.6.1.79,"[['Q9ZE56 -- 2.6.1.79|2.6.1.1', 0.19482249597352133], ['P58350 -- 2.6.1.39|2.6.1.1', 0.21550932480564697], ['O86459 -- 2.6.1.79|2.6.1.1', 0.1918250535011464], ['P58350 -- 2.6.1.39|2.6.1.1', 0.21550932480564697], ['Q59228 -- 2.6.1.1', 0.18233380091403834], ['Q8KDS8 -- 2.6.1.78|2.6.1.1', 0.19876005553427972], ['Q82DR2 -- 2.6.1.1', 0.1788370236451038], ['Q5F4K8 -- 2.6.1.1', 0.19429335481961268], ['Q56232 -- 2.6.1.1|2.6.1.78', 0.20158085256952787], ['Q8DTM1 -- 2.6.1.14', 0.1698451058545553], ['E9L7A5 -- 2.6.1.78|2.6.1.79|2.6.1.1', 0.1951162223244388], ['Q82WA8 -- 2.6.1.79|2.6.1.1', 0.18033563042680664], ['Q8KDS8 -- 2.6.1.78|2.6.1.1', 0.1781023945239577], ['P14909 -- 2.6.1.1', 0.16693598610074378], ['Q5F4K8 -- 2.6.1.1', 0.1546531886350745], ['Q9X0Y2 -- 2.6.1.1', 0.13437758874207376], ['Q16773 -- 2.6.1.64|2.6.1.7|4.4.1.13', 0.16044205550760582], ['Q8DTM1 -- 2.6.1.14', 0.12788336900076427], ['A0A1Q9R8C7 -- 2.6.1.39', 0.0943551566269261], ['O52815 -- 2.6.1.103', 0.12888244822045988], ['O93744 -- 2.6.1.1', 0.1183921164136562], ['Q9C969 -- 2.6.1.27|2.6.1.5|2.6.1.88', 0.14046023015688444], ['O67781 -- 2.6.1.78|2.6.1.1', 0.11589441836441722], ['P04693 -- 2.6.1.57|2.6.1.107', 0.13164458432040788], ['Q55128 -- 2.6.1.1', 0.11189789667234669], ['A7XRY8 -- 2.6.1.28', 0.11389617559014267], ['Q72LL6 -- 2.6.1.39', 0.1198907111475186], ['Q72LL6 -- 2.6.1.39', 0.11636454919565183], ['O42652 -- 2.6.1.1', 0.1021714581912165], ['Q9WVM8 -- 2.6.1.4|2.6.1.63|2.6.1.7|2.6.1.39|2.6.1.73', 0.10343504774866402], ['A7XRY8 -- 2.6.1.28', 0.10272976716692873], ['Q5E9N4 -- 2.6.1.4|2.6.1.63|2.6.1.7|2.6.1.39|2.6.1.73', 0.10225966043137509], ['O84395 -- 2.6.1.83', 0.11636454919565183], ['Q5VQG8 -- 2.6.1.27', 0.09344425555170814], ['Q9LR29 -- 2.6.1.27|2.6.1.99', 0.09168117457577475], ['Q56114 -- 2.6.1.1', 0.07992715682879971], ['O07587 -- 2.6.1.1', 0.07316858337166454], ['Q94A02 -- 2.6.1.27|2.6.1.99', 0.08697962530661905], ['P95468 -- 2.6.1.57', 0.07872225230233328], ['P05201 -- 2.6.1.3|2.6.1.1', 0.07405012385963124], ['A5A6K8 -- 2.6.1.3|2.6.1.1', 0.07090592664236191], ['Q53IZ1 -- 4.1.1.12|2.6.1.1', 0.06993626824912], ['Q72LL6 -- 2.6.1.39', 0.0681731872731866]]"
NP_436855,1.1.99.13,EC:3.2.1.46,EC:3.2.1.46,
NP_436856,1.1.99.13,"EC:1.1.1.361,EC:1.1.1.335",EC:1.1.1.361,"[['F0M433 -- 1.1.1.425', 0.24568953851468966], ['P26935 -- 1.1.1.18|1.1.1.369', 0.2458060246887333], ['A0A087S0T9 -- 2.3.1.201', 0.14387230955259978], ['Q2I8V6 -- 1.1.1.292', 0.20969254687271618], ['O55044 -- 1...|1.1.1.49', 0.15493958037126115], ['A0A2W0CDE7 -- 1.1.1.335', 0.08329452409742617], ['B3TMR8 -- 1.1.1.384', 0.12581527299786066], ['B1G894 -- 1.1.1.420', 0.10199213893724172]]"
NP_437227,5.1.3.29,"EC:5.1.3.32,EC:5.3.1.32,EC:1.13.12.21",EC:5.1.3.32,"[['P32156 -- 5.1.3.32', 1.0]]"
NP_437228,1.1.1.122,EC:1.1.1.420,EC:1.1.1.420,"[['P26935 -- 1.1.1.18|1.1.1.369', 0.616393643859072], ['A0A518BLK7 -- 1.1.1.312', 0.383606356140928]]"
NP_437492,2.7.1.101,EC:2.7.1.101,EC:2.7.1.101,"[['Q8ZKR2 -- 2.7.1.223', 0.2311011708781819], ['F8D4I6 -- 2.7.1.239', 0.2079769520778611], ['Q53W83 -- 2.7.1.45', 0.2248779353021133], ['Q7CPF5 -- 2.7.1.229', 0.19659128562419945], ['A0A0E3XP22 -- 2.7.1.229', 0.1394526561176443], ['A9CES5 -- 2.7.1.101', 0.11420678365192964]]"
NP_437724,4.2.1.25,"EC:4.2.1.67,EC:4.2.1.25","EC:4.2.1.67,EC:4.2.1.25","[['Q1JUQ1 -- 4.2.1.25', 0.4305223995895315], ['A0A508T7D4 -- 4.2.1.162', 0.20411224787893456], ['Q9A9Z2 -- 4.2.1.39|4.2.1.82', 0.21911889056289027], ['P0DOV7 -- 4.2.1.162', 0.14624646196864363]]"
NP_437725,1.2.1.26,EC:1.2.1.3,EC:1.2.1.3,"[['Q97UA1 -- 1.2.1.26', 0.1805196019274326], ['O94788 -- 1.2.1.36', 0.20835954978036741], ['Q9H2A2 -- 1.2.1.32', 0.20886151653328447], ['Q3MSM3 -- 1.2.1.24', 0.19841844070662024], ['P24549 -- 1.2.1.19|1.2.1.28|1.2.1.3|1.2.1.36', 0.20384089105229536], ['Q40024 -- 1.2.1.8', 0.1532571433539093], ['Q9US47 -- 1.2.1.16', 0.1719845386097511], ['A0A0A8X6R5 -- 1.2.1.39', 0.1311911542920666], ['A0A096NNF2 -- 1.2.1.36', 0.20183254506471787], ['P0C6D7 -- 1.2.1.3', 0.17113099156503064], ['P42236 -- 1.2.1.26', 0.19831805933043456], ['Q9JHW9 -- 1.2.1.36', 0.19480357359615125], ['Q9KWS5 -- 1.2.1.32', 0.16558303755672854], ['Q56R04 -- 1.2.1.19|1.2.1.|1.2.1.8|1.2.1.54|1.2.1.47', 0.19630971334285707], ['P00352 -- 1.2.1.19|1.2.1.28|1.2.1.3|1.2.1.36', 0.18928074187429045], ['Q9H2A2 -- 1.2.1.32', 0.19128908786186793], ['H1ZV37 -- 1.2.1.86', 0.19078712110895088], ['A0A0A1HY32 -- 1.2.1.39', 0.1774319076771061], ['A0A0K2W6H9 -- 1.2.1.3', 0.1427136861510594], ['Q6L285 -- 1.2.1.89', 0.18978294811516214], ['A0A653T2Q5 -- 1.2.1.67', 0.1798167047805759], ['Q58806 -- 1.2.1.22', 0.18267859781287385], ['A0A022PPP4 -- 1.2.99.3', 0.12074806649100465], ['A0A447GH96 -- 1.2.1.3', 0.1378186122302882], ['C7A2A0 -- 1.2.1.3|1.2.1.28|1.2.1.39', 0.18576625614000714], ['A0A2A2ZID7 -- 1.2.1.79', 0.1378186122302882], ['Q25417 -- 1.2.1.3', 0.17552397898890748], ['P55653 -- 1.2.1.79', 0.13706548248494665], ['Q8GAK7 -- 1.2.1.3|1.2.1.4', 0.18526428938709008], ['A0A1W9ZYQ2 -- 1.2.1.79', 0.13631235273960507], ['Q8BH00 -- 1.2.1.32', 0.17313918188543764], ['O06837 -- 1.2.1.39', 0.15448733310488577], ['P23105 -- 1.2.1.85', 0.15406045780014482], ['A0A3S4SCN4 -- 1.2.1.39', 0.11715838153896564], ['A0A8B6LXZ8 -- 1.2.1.73', 0.17361627781426575], ['H2IFE7 -- 1.2.1.92', 0.15662109893430615], ['P43503 -- 1.2.1.28', 0.13744195754963445], ['A0A4R8SWK9 -- 1.2.1.86', 0.11650566909300296], ['Q8GAI8 -- 1.2.1.16', 0.17123148071079594], ['A0A7K0DLN1 -- 1.2.1.86', 0.11650566909300296], ['H2IFE7 -- 1.2.1.92', 0.1527802390154449], ['A7YWE4 -- 1.2.1.88', 0.1523535672754654], ['Q9AHG1 -- 1.1.1.257', 0.15150002023074496], ['A0R4Q0 -- 1.2.1.79', 0.13329983375823887], ['A0A1A8TSP8 -- 1.2.1.39', 0.11422125336571881], ['P10503 -- 1.2.1.88|1.5.5.2', 0.176226971930946], ['A0A7X6RFK6 -- 1.2.1.79|1.2.1.16|1.2.1.20', 0.11585295664704028], ['W7MWX4 -- 1.2.1.3', 0.1523535672754654], ['A6ZR27 -- 1.2.1.5', 0.14979292614130407], ['P94428 -- 1.2.1.79', 0.16455373030210074], ['A0A653XXX6 -- 1.2.1.39', 0.15692224306286318], ['H1ZV37 -- 1.2.1.86', 0.16969996721529645], ['A0A1V4WCU3 -- 1.2.1.67', 0.1588301717510618], ['Q79EM7 -- 1.2.1.78', 0.17170831320287394], ['A0A7Y9J461 -- 1.2.1.78', 0.1106314127465093], ['P94358 -- 1.2.1.3', 0.14040411221414073], ['Q79EM7 -- 1.2.1.78', 0.16819382746859066], ['A0A6J5H4Y8 -- 1.2.1.39', 0.10736785051669585], ['A0A2Z4AF04 -- 1.2.1.73', 0.10736785051669585], ['A0A7Z7IMH6 -- 1.2.1.3', 0.1216267717453596], ['Q9SNX8 -- 1.2.1.9', 0.14738305464898388], ['P83401 -- 1.2.1.3', 0.13528303351057958], ['Q9SNX8 -- 1.2.1.9', 0.15215264885592353], ['Q4VKV0 -- 1.2.99.10', 0.13699012760002044], ['B0T8I8 -- 1.2.1.71', 0.11635504314393465], ['Q84DC3 -- 1.2.1.28|1.2.1.7', 0.15072181609655302], ['B8M9K4 -- 1.2.1.3', 0.13400281472587963], ['Q1JUP4 -- 1.2.1.26|1.2.1.24', 0.15714816402486906], ['Q07YQ5 -- 1.2.5.2', 0.10149374983737272], ['Q2BN77 -- 1.2.1.73', 0.15358348161529403], ['P76217 -- 1.2.1.71', 0.14261323292848732], ['P38067 -- 1.2.1.16', 0.15564202427816326], ['P94682 -- 1.1.1.257', 0.13101550185173882], ['Q8LK61 -- 1.2.1.9', 0.15363367829058575], ['A0A2R8BVP0 -- 1.2.1.67', 0.09855662166412589], ['A0A162J448 -- 1.2.1.3', 0.1284548607175775], ['P42269 -- 1.2.1.60', 0.13485636177060006], ['Q8LK61 -- 1.2.1.9', 0.14710691306289086], ['Q2FK94 -- 1.2.1.3', 0.11447230858856375], ['P25553 -- 1.2.1.21|1.2.1.22', 0.1461027400691021], ['A0A7W9TY11 -- 1.2.1.22|1.2.1.21', 0.10769432049645565], ['A0A6J4B898 -- 1.2.1.3', 0.11735915626573475], ['Q5WVZ4 -- 1.2.1.71', 0.1009163324043476], ['Q40255 -- 1.2.1.3', 0.1165056092210143], ['A0A069S5S4 -- 1.2.1.21', 0.10016320265900604], ['A0A2Z3S0V1 -- 1.2.1.39', 0.08843981225246002], ['Q9HK01 -- 1.2.1.89', 0.12200330668203606], ['P51648 -- 1.2.1.3|1.2.1.94', 0.11999496069445856], ['O86447 -- 1.2.1.68', 0.1206727355548739], ['A0A5V0Q5Z5 -- 1.2.1.71', 0.09037287520149767], ['P23105 -- 1.2.1.85', 0.10370281067973065], ['Q04458 -- 1.2.1.3|1.2.1.64', 0.11798661470688106], ['O57693 -- 1.2.1.90', 0.12350944642874186], ['A0A0J6Z3B2 -- 1.2.1.5', 0.0806075742352488], ['P0DOV9 -- 1.2.1.97', 0.10327613893975113], ['Q8VXQ7 -- 1.2.1.9', 0.09014678659792356], ['Q5XI42 -- 1.2.1.48|1.2.1.28|1.2.1.5|1.2.1.7', 0.1089495367386916], ['P11883 -- 1.2.1.5', 0.11497433521346945], ['P30839 -- 1.2.1.3|1.2.1.94', 0.1089495367386916], ['Q9A777 -- 1.2.1.68', 0.08095902280867714], ['Q8VXQ2 -- 1.2.1.3', 0.10111703528473028], ['P30840 -- 1.2.1.3', 0.07568729420725218], ['P12693 -- 1.2.1.3', 0.0775700287626231], ['Q70E96 -- 1.2.1.3', 0.08535205813014488], ['Q80VQ0 -- 1.2.1.48|1.2.1.28|1.2.1.5|1.2.1.7', 0.09689970030118125], ['P22281 -- 1.2.1.3', 0.06785485262527953], ['Q6FFQ0 -- 1.2.1.26', 0.06785485262527953], ['P27463 -- 1.2.1.19|1.2.1.28|1.2.1.3|1.2.1.36', 0.078323098635976], ['Q84HH8 -- 1.2.1.77', 0.0670013055805591]]"
NP_437726,4.2.1.43,EC:4.2.1.141,EC:4.2.1.141,
NP_719054,2.7.1.59,"EC:2.7.1.8,EC:2.7.1.179","EC:2.7.1.8,EC:2.7.1.179","[['A0A0L0LAM4 -- 2.7.1.63', 1.0]]"
WP_003280093,2.8.3.8,"EC:2.8.3.5,EC:2.8.3.6,EC:2.8.3.8,EC:2.8.3.9",EC:2.8.3.5,"[['B2GV06 -- 2.8.3.5', 0.6260388485201819], ['A0A0H5LSJ9 -- 2.8.3.8', 0.37396115147981823]]"
WP_003294550,2.8.3.8,"EC:2.8.3.5,EC:2.8.3.6",EC:2.8.3.5,"[['Q43973 -- 2.8.3.6', 0.31385276747063784], ['P55809 -- 2.8.3.5', 0.40610178873282227], ['P33752 -- 2.8.3.9', 0.2800454437965399]]"
